formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_min,gaji_max,jumlah_ms,jumlah_submit_t2,jumlah_ms_t2,is_periode_daftar
d0730062-5c32-4ec5-a341-121c2e9ca406,Pemerintah Kab. Muna Barat,CPNS,UMUM,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,PEMERINTAH KABUPATEN MUNA BARAT | RUMAH SAKIT UMUM DAERAH,2,1,3461020,5126784,20,0,0,0
a91b2d58-66c2-43bd-b6e9-c15dd013eae7,Pemerintah Kab. Nagekeo,CPNS,UMUM,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,Pemerintah Kabupaten Nagekeo | Dinas Kesehatan | RSUD Aeramo | Bidang Pelayanan Medik dan Penunjang Medik | SEKSI PELAYANAN PENUNJANG MEDIK,2,1,2750000,3450000,7,0,0,0
8a02826391606efe019160e57ebc3bd0,Pemerintah Kab. Nduga,CPNS,ORANG ASLI PAPUA (OAP),PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,PEMERINTAH KABUPATEN NDUGA | DINAS KESEHATAN | PUSKESMAS KAB NDUGA | RSUD ELVRIDA SARA | Bidang Pelayana | Seksi Pelayanan Medis,2,1,2900000,3800000,3,0,0,0
411277c0-58f1-453a-971b-514327d7746a,Pemerintah Kab. Nduga,CPNS,UMUM (NON OAP),PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,PEMERINTAH KABUPATEN NDUGA | DINAS KESEHATAN | PUSKESMAS KAB NDUGA | RSUD ELVRIDA SARA | Bidang Pelayana | Seksi Pelayanan Medis,1,1,2900000,3800000,4,0,0,0
160cc851-7061-47b7-87e6-7dfb11342c21,Pemerintah Kab. Ngada,CPNS,UMUM,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,PEMERINTAH KABUPATEN NGADA | DINAS KESEHATAN | PUSKESMAS RADABATA,1,0,3000000,3500000,2,0,0,0
69122ed7-dc1d-44bc-8693-06c94f936003,Pemerintah Kab. Ngada,CPNS,UMUM,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,PEMERINTAH KABUPATEN NGADA | DINAS KESEHATAN | PUSKESMAS AIMERE,1,0,3000000,3500000,1,0,0,0
96e3a2ba-9a94-45c7-ae9c-9c26d8044469,Pemerintah Kab. Ngada,CPNS,UMUM,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,PEMERINTAH KABUPATEN NGADA | DINAS KESEHATAN | PUSKESMAS LENGKOSAMBI,1,0,3000000,3500000,1,0,0,0
af71c8b4-4f97-40bc-bf3c-88c6fda25dcd,Pemerintah Kab. Ngada,CPNS,UMUM,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,PEMERINTAH KABUPATEN NGADA | DINAS KESEHATAN | PUSKESMAS ULUWAE RAYA,1,0,3000000,3500000,1,0,0,0
c8eee8c2-63b7-4371-b07e-96dc15f09670,Pemerintah Kab. Ngada,CPNS,UMUM,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,PEMERINTAH KABUPATEN NGADA | DINAS KESEHATAN | PUSKESMAS RAWANGKALO,1,0,3000000,3500000,2,0,0,0
4e769c3f-bed4-4095-9657-3760c2bb7f10,Pemerintah Kab. Ngawi,CPNS,UMUM,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,Kabupaten Ngawi | DINAS KESEHATAN KAB. NGAWI | LAB. KES DAERAH KAB. NGAWI | LABORATORIUM KESEHATAN MASYARAKAT,1,1,2785700,5180700,34,0,0,0
